Return_Threshold,Vol_Multiplier,Profit_Target,Stop_Loss,Hold_Days,Position_Size,Num_Trades,Win_Rate,Expectancy_Pct,Total_PnL_NGN,Profit_Factor
-6%,1.5,5%,3%,10,"₦100,000",1699,52.7,-1.535,-2608325.23,0.386
-6%,1.5,5%,3%,10,"₦500,000",1699,52.7,-1.529,-12987258.15,0.388
-6%,1.5,5%,3%,10,"₦1,000,000",1699,52.7,-1.528,-25960924.29,0.388
-6%,1.5,5%,3%,15,"₦100,000",1699,54.8,-1.516,-2574882.09,0.4
-6%,1.5,5%,3%,15,"₦500,000",1699,54.8,-1.509,-12820042.46,0.402
-6%,1.5,5%,3%,15,"₦1,000,000",1699,54.8,-1.508,-25626492.92,0.402
-6%,1.5,5%,3%,20,"₦100,000",1699,55.7,-1.516,-2575807.52,0.405
-6%,1.5,5%,3%,20,"₦500,000",1699,55.7,-1.51,-12824669.61,0.407
-6%,1.5,5%,3%,20,"₦1,000,000",1699,55.7,-1.509,-25635747.22,0.407
-6%,1.5,5%,3%,25,"₦100,000",1699,56.2,-1.523,-2587106.7,0.405
-6%,1.5,5%,3%,25,"₦500,000",1699,56.2,-1.516,-12881165.5,0.407
-6%,1.5,5%,3%,25,"₦1,000,000",1699,56.2,-1.516,-25748739.0,0.407
-6%,1.5,5%,5%,10,"₦100,000",1699,56.1,-1.805,-3066284.51,0.362
-6%,1.5,5%,5%,10,"₦500,000",1699,56.1,-1.798,-15277054.55,0.364
-6%,1.5,5%,5%,10,"₦1,000,000",1699,56.1,-1.798,-30540517.1,0.364
-6%,1.5,5%,5%,15,"₦100,000",1699,58.8,-1.805,-3066701.86,0.375
-6%,1.5,5%,5%,15,"₦500,000",1699,58.8,-1.799,-15279141.29,0.377
-6%,1.5,5%,5%,15,"₦1,000,000",1699,58.8,-1.798,-30544690.59,0.377
-6%,1.5,5%,5%,20,"₦100,000",1699,60.6,-1.776,-3016871.13,0.387
-6%,1.5,5%,5%,20,"₦500,000",1699,60.6,-1.769,-15029987.63,0.388
-6%,1.5,5%,5%,20,"₦1,000,000",1699,60.6,-1.768,-30046383.25,0.388
-6%,1.5,5%,5%,25,"₦100,000",1699,61.2,-1.793,-3045666.24,0.387
-6%,1.5,5%,5%,25,"₦500,000",1699,61.2,-1.786,-15173963.21,0.388
-6%,1.5,5%,5%,25,"₦1,000,000",1699,61.2,-1.785,-30334334.42,0.388
-6%,1.5,5%,7%,10,"₦100,000",1699,57.3,-2.082,-3537950.13,0.334
-6%,1.5,5%,7%,10,"₦500,000",1699,57.3,-2.076,-17635382.65,0.336
-6%,1.5,5%,7%,10,"₦1,000,000",1699,57.3,-2.075,-35257173.31,0.336
-6%,1.5,5%,7%,15,"₦100,000",1699,60.8,-2.107,-3580264.6,0.347
-6%,1.5,5%,7%,15,"₦500,000",1699,60.8,-2.101,-17846955.02,0.348
-6%,1.5,5%,7%,15,"₦1,000,000",1699,60.8,-2.1,-35680318.04,0.349
-6%,1.5,5%,7%,20,"₦100,000",1699,62.7,-2.093,-3555716.07,0.356
-6%,1.5,5%,7%,20,"₦500,000",1699,62.7,-2.086,-17724212.33,0.357
-6%,1.5,5%,7%,20,"₦1,000,000",1699,62.7,-2.086,-35434832.66,0.358
-6%,1.5,5%,7%,25,"₦100,000",1699,63.3,-2.166,-3679412.42,0.35
-6%,1.5,5%,7%,25,"₦500,000",1699,63.3,-2.159,-18342694.1,0.352
-6%,1.5,5%,7%,25,"₦1,000,000",1699,63.3,-2.158,-36671796.2,0.352
-6%,1.5,7%,3%,10,"₦100,000",1699,48.4,-0.914,-1552167.24,0.658
-6%,1.5,7%,3%,10,"₦500,000",1699,48.4,-0.907,-7706468.22,0.66
-6%,1.5,7%,3%,10,"₦1,000,000",1699,48.4,-0.906,-15399344.45,0.661
