Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Stop_Loss_Price,Profit_Target_Price,Gross_Return,Net_Return,Net_PnL_NGN,Days_Held,Exit_Reason
Cutix,2017-08-04,2017-08-15,1.095,1.2045,1.0622,1.2045,10.0,6.77,6774.5,11,Profit Target
Nahco,2017-08-17,2017-09-05,2.377,2.3057,2.3057,2.6147,-3.0,-6.01,-6007.75,19,Stop Loss
Lafarge Africa,2017-09-11,2017-09-12,48.71,47.2487,47.2487,53.581,-3.0,-6.01,-6007.75,1,Stop Loss
Neimeth,2017-09-18,2017-09-19,0.61,0.5917,0.5917,0.671,-3.0,-6.01,-6007.75,1,Stop Loss
Neimeth,2017-09-21,2017-09-25,0.58,0.5626,0.5626,0.638,-3.0,-6.01,-6007.75,4,Stop Loss
Lafarge Africa,2017-10-24,2017-10-26,50.0,48.5,48.5,55.0,-3.0,-6.01,-6007.75,2,Stop Loss
Cutix,2017-10-30,2017-10-31,1.05,1.155,1.0185,1.155,10.0,6.77,6774.5,1,Profit Target
Cutix,2017-10-31,2017-11-02,2.1,2.037,2.037,2.31,-3.0,-6.01,-6007.75,2,Stop Loss
International Breweries,2017-11-01,2017-11-07,46.55,45.1535,45.1535,51.205,-3.0,-6.01,-6007.75,6,Stop Loss
Linkassure,2017-11-15,2017-11-16,0.26,0.2522,0.2522,0.286,-3.0,-6.01,-6007.75,1,Stop Loss
Cutix,2017-11-21,2017-11-24,0.975,1.0725,0.9458,1.0725,10.0,6.77,6774.5,3,Profit Target
Cutix,2017-12-05,2017-12-07,1.045,1.1495,1.0136,1.1495,10.0,6.77,6774.5,2,Profit Target
Cutix,2017-12-07,2017-12-08,2.19,2.1243,2.1243,2.409,-3.0,-6.01,-6007.75,1,Stop Loss
Lafarge Africa,2017-12-14,2017-12-15,43.6,42.292,42.292,47.96,-3.0,-6.01,-6007.75,1,Stop Loss
Linkassure,2017-12-18,2017-12-21,0.25,0.275,0.2425,0.275,10.0,6.77,6774.5,3,Profit Target
Neimeth,2018-01-05,2018-01-10,0.63,0.693,0.6111,0.693,10.0,6.77,6774.5,5,Profit Target
Fcmb,2018-01-29,2018-02-01,3.09,2.9973,2.9973,3.399,-3.0,-6.01,-6007.75,3,Stop Loss
Coronation Insurance,2018-02-13,2018-02-20,0.64,0.6208,0.6208,0.704,-3.0,-6.01,-6007.75,7,Stop Loss
Cutix,2018-02-14,2018-02-15,2.25,2.1825,2.1825,2.475,-3.0,-6.01,-6007.75,1,Stop Loss
Aiico,2018-02-15,2018-02-16,0.73,0.7081,0.7081,0.803,-3.0,-6.01,-6007.75,1,Stop Loss
United Capital,2018-02-28,2018-03-02,3.75,4.125,3.6375,4.125,10.0,6.77,6774.5,2,Profit Target
Zenith Bank,2018-03-19,2018-03-23,27.0,29.7,26.19,29.7,10.0,6.77,6774.5,4,Profit Target
Coronation Insurance,2018-03-20,2018-03-27,0.52,0.572,0.5044,0.572,10.0,6.77,6774.5,7,Profit Target
McNichols,2018-03-20,2018-06-05,0.46,0.45,0.4462,0.506,-2.17,-5.2,-5195.5,77,Time Stop
McNichols,2018-03-21,2018-06-07,0.46,0.45,0.4462,0.506,-2.17,-5.2,-5195.5,78,Time Stop
Japaul Gold Ventures,2018-03-22,2018-03-23,0.6,0.66,0.582,0.66,10.0,6.77,6774.5,1,Profit Target
